Value;tweet
Positif;@Tiger_super09 @PLindungi thx infonya
Positif;@choc0oojull @PLindungi Kalau gak bisa kasih selembar kertas yang asli atau fotocopyan,cukup foto tapi harus tinggalin NIK ktp nya
Positif;@choc0oojull @PLindungi Coba suruh orang yang terdekat ke lokasi vaksin nya dan bawah fotocopyan atau selembar kertas yang asli waktu dapat dari tmpt vaksin, dan kalau sudah begitu nnti di suruh tinggalin nomor ktp dan paling lambat data nya bakal masuk s
Positif;@choc0oojull @PLindungi Doi siape wkwkwk tp aku dapet sms 2 2 nya
Positif;@Tiger_super09 @PLindungi udahh, ngga responsif.. mau balik ke tempat vaksin jauh banget orgnya udah balik kampung wksk
Positif;@kwon_ji___yong @PLindungi yg kedua kata doi engga. tp aku dr awal vaksin sampe vaksin terakhir gapernah dismsin:( alhamdulillahnya lengkap sertifnya btw
Positif;@choc0oojull @PLindungi Coba kmu krim laporan via email ke peduli lindungi dan kalau masih belom bisa langsung coba ke tmpt kmu vasksin dan bilang data nya belom masuk
Positif;@clynophile0 @PLindungi Vaksin lagi kali ya
Positif;@HagisEP @PLindungi hayolo
Positif;Hari ini ngurus sertifikat vaksin ortu lewat email cs @PLindungi di sertifikat@pedulilindungi.id. awalnya skeptis akan di jawab lama. Eeee ternyata balasannya cepet beuuttt dan ga (terlalu) ribet. Bangga lah. Semoga performanya bisa dipertahankan ???
Positif;@jejeens @PLindungi Setelah baca tweet kakanya,ku langsung inget punyanya bapak saya yg sertifikatnya belum muncul di peduli lindungi dan salah data (salah no hp),terus langsung kirim pesan ke email sertifikat peduli lindungi,ehh ternyata fast respon dan 
Positif;Cek in pake app @PLindungi gak pernah bisa, pake app @gojekindonesia malah bisa ???????Ÿ?Ÿ????
Positif;Min @PLindungi  cara menghapus akun pedulilindungi yang pakai email gmn ya min..soalnya aku sudah punya akun yg pakai no hp min..pengen biar satu akun aja.. Mohon pencerahannya min @PLindungi
Positif;@DianWidiari @PLindungi Alhamdulillah sudah kembali hijau..
Positif;@sehuniechu @PLindungi okeey..makasih
Positif;@sehuniechu @PLindungi makasih yaa
Positif;@sehuniechu @PLindungi makasih ya infonya. hubungi via apa? apa datang langsung ke dukcapil
Positif;@PLindungi minnnn ini kalo mau update sertifikat vaksinnya gimana?? ada kesalaham penulisan dan sudah di ganti di pcare
Positif;@PLindungi Wah, baru tau. Terima kasih.
Positif;@vepsyenv @mgrhmprm @agungxanggara @HalloMazidaaa @omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Alhamdulillaah.. Baik, sama sama kak
Positif;@Kholillah_21 @mgrhmprm @agungxanggara @HalloMazidaaa @omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Terimakasih kaka ada niat mau bantu, tapi Alhamdulillah barusan saya dapet sertifikatnya. baru di respon, makasih sebelumnya ya.
Positif;@PLindungi halo min, saudara saya udah vaksin dosis 1 &amp
Positif;@alandakariza @PLindungi McD bagian drive thru juga Ÿ??Ambil DisiniŸ?.
Positif;Did you see it?  @PLindungi wrote Ÿ??Scan DisiniŸ? on check-in posters instead of Ÿ??Scan Di SiniŸ?.
Positif;@AmellLissa @PLindungi @MShelleyneK Betul sekali kak
Positif;@PLindungi assalamu'alaikum, selamat malam mba/mas admin. Mau nanya nih seputar sertifikat vaksin. Jadi, di sertifikat vaksin 1 dan 2 ku bulan lahirnya salah min, trus aku udh hubungi 119 dan udh bilang ke mreka, setelah mereka cek akhirnya dibenerin deh.
Positif;@PLindungi hai kak, boleh check dm saya? terimakasih ?????ª
Positif;Aplikasi karya anak bangsa @PLindungi melalui SE Menperin No. 5/2021 turut didorong penggunaannya di lingkungan perusahaan industri &amp
Positif;@mgrhmprm @agungxanggara @HalloMazidaaa @omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng In Syaa Allaah.. Saya bantu cek dulu masalahnya dimana, dm aja
Positif;@RestySyalsa @PLindungi Wihhhh Makasih masukannya. Gw coba dulu ya. Agak stress juga pas ngurus punya mamah
Positif;SUMPAH DEMI PLINDUNGI BENERAN NAPA STATUS GW
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Awalnya ditolak bg, setelah saya lapor ke email pedulilindungi, dapat balasan, dri peduli lindungi katanya suruh input data secara manual, lalu setelah itu saya bilang sama petugas nya, akhir
Positif;@parisha2708 @tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng iya, pastiin status vaksinnya di peduli lindungi udh ke update jd berhasil/sdh vaksin kedua ya, semoga lekas dpt serti nya~
Positif;@sa_2708 @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Okee makasih infonya kak
Positif;@sartikalestarii @tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Orgtuaku jg nih blm dpt sertifikat ke 2. Oh gt yah.. aku coba email kl gt. Semoga berhasil. Thank you infonya
Positif;Kami Informasikan kepada seluruh masyarakat yang hendak memasuki Polres Tangerang Selatan, saat ini kami telah menerapkan aplikasi Peduli Lindungi sebagai upaya kita bersama sama dalam melakukan pengendalian penyebaran Covid 19 @PLindungi  https://t.co/s3THJB3Ehi
Positif;@omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Ke nomor CS PLindungi kak. Aku sarankan nelfonnya tengah malem, pasti diangkat soalnya.
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Sama persis seperti saya, tiba2 udah keluar sertifikat vaksin tgl 22 sept, dikeluarkan oleh poli bhayangkara panaikang makassar, padahal saya domisili medan, kemaren tgl 5 okt hampir tidak bi
Positif;@belvitamulyaa @PLindungi Eh udah ni wkwkkw
Positif;@howdareuu @PLindungi minn tolong dong temenkuuu
Positif;Nah, gini kek ada check-out otomatis kalo udah ke-detect cabut dari lokasi  Kemaren pas rollout UI baru di iOS sempet gedeg karena (tbh) snackbar check out itu helpful bgt gak mesti scan QR out  Untunglah skrg lebi better lg bisa check-out otomatis @PLindungi  https://t.co/7CM7DUPzHQ
Positif;@agungxanggara @HalloMazidaaa @omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Kalau mau di bantu, silahkan dm saya ya.. Karena saya perlu NIK buat cek nya
Positif;@cambridgia @PLindungi Woke ai makasiii
